"","gene1","gene2","p.value","q.value"
"516","TSC2","PPP2R1A",0.000286138805131089,0.0144837486868542
"82","PGR","BAP1",0.000295498617355666,0.014941072644228
"130","SPOP","CHD4",0.000296734577994577,0.0149958437972881
"17","DAZAP1","AKT1",0.000297886461707405,0.0150204205367094
"88","FOXA2","BCOR",0.000306391979102379,0.0154578433010647
"28","ZBTB7B","AKT1",0.00030705154142694,0.0154700298967982
"169","FGFR2","CTNNB1",0.000315450906877405,0.0158176614174293
"184","MLH1","CTNNB1",0.000316626535800074,0.0158241790226303
"47","CCND1","ARHGAP35",0.000318519791099846,0.0158369827647396
"504","SMC3","PPP2R1A",0.000318669845349061,0.0158369827647396
"100","PPP2R1A","CARD11",0.000329336864522733,0.0164354390451788
"496","RPS6KA3","PPP2R1A",0.000330985624340949,0.0164857857625878
"311","KRAS","GNAS",0.000331817037342277,0.0165800416529688
"74","TP53","ATXN3",0.000333360314202095,0.0165842052979788
"236","TP53","EEF1A1",0.000333360314202095,0.0165842052979788
"153","SMARCA4","CTCF",0.000334778274094282,0.0166058316806457
"44","SOX17","AR",0.000343692333877817,0.0170565650563155
"68","KRAS","ATR",0.000345955955279604,0.0170565650563155
"185","MTOR","CTNNB1",0.00034619080712031,0.0170565650563155
"237","NFE2L2","EEF2",0.000357088766960423,0.0174684178846509
"358","MED12","KRAS",0.000363353687393937,0.0178155246034291
"359","MGA","KRAS",0.000366093734750846,0.0178641390437156
"348","SOX17","KMT2B",0.000367510838709591,0.0178641390437156
"499","SF3B1","PPP2R1A",0.000368029747013058,0.0178641390437156
"520","ZMYM2","PPP2R1A",0.000368029747013058,0.0178641390437156
"136","CTNNB1","CIC",0.000369768291256082,0.017998782064802
"150","KRAS","CTCF",0.000374754885679274,0.0181975932861152
"455","PIK3R2","PGR",0.000377514247351501,0.0183583531845671
"343","TP53","KIT",0.00038182490383834,0.018480162611469
"360","MLH1","KRAS",0.000383841370649414,0.0185288654666406
"577","TP53","TGIF1",0.000383949727108126,0.0185288654666406
"152","SIN3A","CTCF",0.000386660203780437,0.0185786995200686
"60","KRAS","ASXL1",0.000403150433304972,0.0194631747506402
"251","KRAS","ERBB2",0.000403150433304972,0.0194631747506402
"270","NFE2L2","FBXW7",0.000403475176038872,0.0194631747506402
"445","SPOP","NUP93",0.000404727407427842,0.0194824072656304
"299","MLH1","FOXA2",0.000405818872527869,0.0194991333018288
"10","SPOP","ACVR1B",0.000406892528396709,0.0194991333018288
"77","PPP2R1A","AXIN2",0.000407096172111135,0.0194991333018288
"281","MYC","FGFR2",0.000414075588778573,0.0197332881034539
"324","PPP2R1A","JAK1",0.000416975433015694,0.0198048731930897
"357","LZTR1","KRAS",0.000427339920420024,0.020250505113792
"98","CTNNB1","CARD11",0.000430706797906924,0.0202843859597985
"370","POLQ","KRAS",0.000442484394360743,0.0207968617693405
"15","CDK4","AKT1",0.000458302603747787,0.0214142558323256
"333","PPP2R1A","KDM6A",0.000459792294955756,0.0214142558323256
"493","RET","PPP2R1A",0.000459792294955756,0.0214142558323256
"536","SOX17","RFC1",0.000462747438522283,0.0214837461369731
"379","SPTA1","KRAS",0.000464758948006933,0.0216010086724161
"66","SPOP","ATM",0.000465624946264538,0.0216010086724161
"16","CUL3","AKT1",0.000465703138201782,0.0216010086724161
"22","NFE2L2","AKT1",0.000465703138201782,0.0216010086724161
"497","SCAF4","PPP2R1A",0.000483452475821753,0.022379893089284
"23","NUP93","AKT1",0.000485515358685358,0.0225995347863023
"489","PTPRD","PPP2R1A",0.000491735676608788,0.0227528190357592
"297","KRAS","FOXA2",0.000493516685696012,0.0229231490900468
"511","TBL1XR1","PPP2R1A",0.000495984964395514,0.0229714691757339
"134","NFE2L2","CHEK2",0.000500574146401463,0.0232693639552307
"498","SETD2","PPP2R1A",0.000503428912869335,0.0233391663771814
"361","MTOR","KRAS",0.000504613355620645,0.0233391663771814
"321","KRAS","INPPL1",0.000505971152266642,0.0233391663771814
"561","TET2","SOX17",0.000509458382344568,0.0234916770398423
"154","SOX17","CTCF",0.000509537800173482,0.0234916770398423
"200","PTCH1","CTNNB1",0.000510794557976052,0.0235514458035457
"85","TP53","BCL2",0.000521924580604969,0.023884687897992
"458","TP53","PGR",0.000521924580604969,0.023884687897992
"495","RNF43","PPP2R1A",0.000526845556771271,0.0240040798923573
"371","POLRMT","KRAS",0.000537247470133172,0.0243276617699199
"290","KRAS","FLNA",0.000546839790869994,0.0247207136803771
"296","KIF1A","FOXA2",0.000554317735159084,0.024979055405328
"89","PIK3CA","BCOR",0.000554615903255937,0.024979055405328
"168","FGFR1","CTNNB1",0.00055584646972552,0.0249956331426017
"125","FGFR2","CHD4",0.000566464122597715,0.0254152879385125
"280","MED12","FGFR2",0.000570801703701966,0.025565193206149
"3","SPOP","ABL1",0.000574323664921877,0.0257157852808321
"541","SPOP","RNF43",0.000574323664921877,0.0257157852808321
"539","TP53","RHOA",0.000577464090466859,0.0258101162061901
"580","TRAF3","TP53",0.000577464090466859,0.0258101162061901
"173","JAK1","CTNNB1",0.000585200993913383,0.0261882692733872
"24","PIK3CA","AKT1",0.0005921863545705,0.0263581820276751
"286","SMARCA4","FGFR2",0.000592196759048098,0.0263581820276751
"256","PGR","ERBB3",0.000594492521948946,0.0264052804055389
"278","FLNA","FGFR2",0.000600708941986459,0.0265554854703009
"59","CTNNB1","ASXL1",0.000616125569114968,0.027379388390762
"210","TSC1","CTNNB1",0.000616125569114968,0.027379388390762
"349","SPOP","KMT2B",0.00062503009914793,0.0276930405148137
"287","SOX17","FGFR2",0.000628619135989736,0.0278467783331176
"84","SOX17","BCL2",0.000634296858156415,0.0280130096786413
"486","PTCH1","PPP2R1A",0.000634702022779331,0.0280956474275894
"238","PGR","EEF2",0.000637582538708868,0.0281265746039862
"408","PPP2R1A","MET",0.000640722126262542,0.0281312156377135
"336","KRAS","KEL",0.000641044060342544,0.0281312156377135
"276","KRAS","FGFR1",0.000650324717910051,0.0283280889788997
"282","NOTCH1","FGFR2",0.000650909297582238,0.0283280889788997
"14","CCND1","AKT1",0.000661772694104536,0.0288258040944214
"19","FGFR2","AKT1",0.000672622324481806,0.0293113886105606
"523","TP53","PRKAR1A",0.000675545590521746,0.0294084875804539
"302","PLXNB2","FOXA2",0.000677593723069055,0.0295024881390334
"384","ZBTB7B","KRAS",0.000683228038946841,0.0295882028098478
"330","PPP2R1A","KDM5C",0.000684902687508378,0.0295882028098478
"443","PIK3R2","NUP133",0.000695875179002081,0.0300367898225802
"201","PTPRD","CTNNB1",0.000698236289804405,0.030138510373414
"208","TAF1","CTNNB1",0.000705774059351638,0.0303655458631914
"388","TP53","LEMD2",0.000710831668417822,0.0306176013423441
"544","TP53","RRAS2",0.000710831668417822,0.0306176013423441
"373","PSIP1","KRAS",0.000730485090267659,0.0313488302761105
"304","TMSB4X","FUBP1",0.000734177182807904,0.0313488302761105
"402","TP53","MAX",0.000734468107539017,0.0313488302761105
"81","CTNNB1","BAP1",0.000735026196157187,0.0313488302761105
"492","RBM10","PPP2R1A",0.00074020900393373,0.0315378614564541
"293","TP53","FLT3",0.000741251054408152,0.0315553889927171
"56","CTNNB1","ARID5B",0.000749607673392283,0.0319582840525014
"399","PPP2R1A","MAP3K4",0.000765453547222217,0.0325529233543931
"356","LATS2","KRAS",0.000766984539719565,0.0325529233543931
"335","TP53","KEAP1",0.00078648369387779,0.0333182563812722
"319","PPP2R1A","IL7R",0.000802873243251854,0.0339108297278776
"464","PPP2R1A","PIK3CB",0.000814585441495712,0.0342374391332099
"565","TSC2","SPOP",0.000831304624023307,0.0350414570167413
"381","TAF1","KRAS",0.000843131859058757,0.0355203467385
"518","WT1","PPP2R1A",0.000852130464925503,0.0358177884177248
"490","RASA1","PPP2R1A",0.000855558519359525,0.0359231628811174
"18","EIF1AX","AKT1",0.000860346117330501,0.0361985169890522
"563","ZNF750","SOX17",0.000876490737983556,0.0367130007900579
"197","POLE","CTNNB1",0.00087846149606832,0.0367540637655268
"397","SOX17","MAP3K1",0.000892268551854203,0.0373290846270994
"414","PPP2R1A","MSH2",0.000893550947690795,0.0373290846270994
"554","SPOP","SMARCA1",0.000904420182774552,0.0379196230169749
"108","MLH1","CCND1",0.000906744140358759,0.037930687989211
"80","CCND1","BAP1",0.000931918751198264,0.038951799634121
"104","CHD3","CCND1",0.000943104828149755,0.0390571468637645
"138","PPP2R1A","CNBD1",0.000950155920800113,0.0390571468637645
"294","PPP2R1A","FOXA1",0.000950155920800113,0.0390571468637645
"307","PPP2R1A","GATA3",0.000950155920800113,0.0390571468637645
"401","PPP2R1A","MAX",0.000950155920800113,0.0390571468637645
"444","PPP2R1A","NUP133",0.000950155920800113,0.0390571468637645
"522","ZNF750","PPP2R1A",0.000950155920800113,0.0390571468637645
"437","SOX17","NOTCH1",0.000953071831183624,0.0390571468637645
"406","SOX17","MED12",0.000953756608806234,0.0390571468637645
"366","NSD1","KRAS",0.000956583756445203,0.0390571468637645
"345","SPOP","KMT2A",0.000964744589696861,0.0393441658098411
"592","ZNF133","TP53",0.000967081521432351,0.0393441658098411
"30","CTNNB1","ALK",0.000971024535365595,0.0393441658098411
"42","CTNNB1","AR",0.000971024535365595,0.0393441658098411
"171","FOXA2","CTNNB1",0.000971142555480705,0.0393441658098411
"566","ZBTB7B","SPOP",0.00100002667535731,0.0403385763360881
"51","SPOP","ARHGAP35",0.00100088627088621,0.0403385763360881
"1","KRAS","ABL1",0.00100212503283167,0.0403385763360881
"20","FOXA2","AKT1",0.00102258200929793,0.0413170353307085
"193","PIK3CG","CTNNB1",0.00102326220057891,0.0413170353307085
"202","RASA1","CTNNB1",0.00102326220057891,0.0413170353307085
"116","PPP2R1A","CDH1",0.00102552425633124,0.0413215037441444
"212","ZC3H12A","CTNNB1",0.00103582638472745,0.0417307622608296
"7","KRAS","ACVR1B",0.00103861098316534,0.0418584879391299
"362","MUC6","KRAS",0.00106257817668784,0.0425110968951317
"468","SOX17","PIK3R1",0.00106323128208907,0.0425110968951317
"156","TAF1","CTCF",0.00106424503641015,0.0425110968951317
"141","SOX17","COL5A1",0.00107398621605722,0.0427642073970819
"594","ZNF750","ZBTB7B",0.00108427125819305,0.043314043490433
"367","PHF6","KRAS",0.00108601873010728,0.0433214177938249
"396","PPP2R1A","MAP3K1",0.00109858044097562,0.0438212691228144
"448","PPP2R1A","PBRM1",0.00109858044097562,0.0438212691228144
"122","SPOP","CHD3",0.00110002002633156,0.0439007852109222
"453","SPOP","PDS5B",0.00110769676125385,0.0442037303768979
"21","KRAS","AKT1",0.00111465931827659,0.0443306032977754
"92","KRAS","BRAF",0.00111465931827659,0.0443306032977754
"512","TCF7L2","PPP2R1A",0.00112413354984965,0.0447163253076432
"301","PIK3R1","FOXA2",0.00113255938664746,0.0451780745265528
"394","SOX17","MAP2K4",0.00114754384766207,0.0455297876622918
"474","SOX17","PLCG1",0.00114754384766207,0.0455297876622918
"309","TP53","GNA13",0.00114795901220764,0.0455297876622918
"341","KRAS","KIT",0.00115523406315651,0.045649272500448
"239","SPOP","EEF2",0.0011615912141797,0.0457902367567714
"13","BCL2L11","AKT1",0.00116386941592772,0.0458870522659186
"245","PPP2R1A","EP300",0.00117344899449054,0.0461257089483243
"34","KRAS","AMER1",0.00120031396910966,0.0472502425489475
"252","TP53","ERBB2",0.00122477834900838,0.048279003195625
"112","RNF43","CCND1",0.00122993895788401,0.0485532917361911
"457","RNF43","PGR",0.00123996871195312,0.0489085271352797
"433","ZBTB7B","NFE2L2",0.00124868263962307,0.0489085271352797
"102","KRAS","CASP8",0.00124925899934963,0.0489085271352797
"233","KRAS","DNMT3A",0.00124925899934963,0.0489085271352797
"473","PPP2R1A","PLCG1",0.00125167123170517,0.0489085271352797
"514","TLR4","PPP2R1A",0.00125167123170517,0.0489085271352797
"253","FBXW7","ERBB3",0.00125663578356613,0.0489389650059096
"320","SOX17","IL7R",0.00126839501688075,0.0492495528930569
"303","KRAS","FUBP1",0.00127802397159403,0.0495214201811249
"315","KRAS","HUWE1",0.00129262740454064,0.0497676709497319
"162","EPHA2","CTNNB1",0.00129997433405114,0.0498516765606668
"298","MECOM","FOXA2",0.00130371274618835,0.0498841661769911
"423","PPP2R1A","MYH9",0.0013055116513792,0.0498841661769911
