"","gene1","gene2","p.value","q.value"
"591","ZMYM3","TP53",6.25240856966502e-08,7.67931957569926e-06
"387","TP53","LATS2",6.27942790370864e-08,7.67931957569926e-06
"400","TP53","MAP3K4",6.27942790370864e-08,7.67931957569926e-06
"137","TP53","CIC",6.83781604508814e-08,8.22002080075497e-06
"78","TP53","AXIN2",8.56499550058991e-08,1.03613040188797e-05
"537","TP53","RFC1",8.56499550058991e-08,1.03613040188797e-05
"231","PPP2R1A","DMD",9.7405457647618e-08,1.1791133213199e-05
"334","TP53","KDM6A",1.0682836529196e-07,1.28414108599009e-05
"564","TP53","SPOP",1.074449209249e-07,1.28414108599009e-05
"97","TP53","CACNA1A",1.10716265335791e-07,1.29721794741414e-05
"126","KRAS","CHD4",1.33280561063778e-07,1.58004581225285e-05
"218","TP53","CUL3",1.46648257616816e-07,1.72834569360143e-05
"530","TP53","PTPRD",1.64402563677615e-07,1.92210949277758e-05
"61","TP53","ASXL1",1.65333694505533e-07,1.92210949277758e-05
"240","TP53","EEF2",1.65333694505533e-07,1.92210949277758e-05
"213","ZFHX3","CTNNB1",1.69315339196175e-07,1.94522467569783e-05
"467","PPP2R1A","PIK3R1",2.02661601113344e-07,2.32145742903286e-05
"124","CTNNB1","CHD4",2.15768954012089e-07,2.45175984030521e-05
"506","SPOP","PPP2R1A",2.27020820793334e-07,2.54712776787981e-05
"266","PPP2R1A","FAT1",2.27886843620644e-07,2.54712776787981e-05
"40","PPP2R1A","APOB",2.28177870224605e-07,2.54712776787981e-05
"346","TP53","KMT2A",2.40371178901643e-07,2.66228563046048e-05
"559","TP53","SOS1",2.51291750174165e-07,2.76077706035431e-05
"369","PLXNB2","KRAS",2.53696274002163e-07,2.77140157919877e-05
"446","TP53","NUP93",2.62413609847716e-07,2.83634181311917e-05
"90","PPP2R1A","BCOR",2.69798989111098e-07,2.87018600095413e-05
"247","TP53","EPAS1",2.77249983606282e-07,2.95229942253146e-05
"196","PLXNB2","CTNNB1",2.83753906705695e-07,3.00398659535137e-05
"12","TP53","ACVR2A",3.56943637561099e-07,3.83865798875702e-05
"480","TP53","PMS2",3.83355016924199e-07,4.12205293238798e-05
"70","TP53","ATR",3.87467458861639e-07,4.12647949370131e-05
"535","TP53","RET",3.94708917386222e-07,4.1996120829826e-05
"578","TP53","THRAP3",4.16002542190716e-07,4.39295510385039e-05
"575","TP53","TET2",4.33262450597207e-07,4.54016446476827e-05
"139","TP53","CNBD1",4.70370787026707e-07,4.85584555199517e-05
"216","TP53","CUL1",4.70370787026707e-07,4.85584555199517e-05
"385","TP53","LATS1",4.9295238526354e-07,5.0107007306403e-05
"582","TSC2","TP53",4.9295238526354e-07,5.0107007306403e-05
"325","TP53","JAK1",5.13347532786979e-07,5.12785689396361e-05
"398","TP53","MAP3K1",5.13347532786979e-07,5.12785689396361e-05
"562","TP53","SOX17",5.70010118337512e-07,5.75250265504162e-05
"11","TP53","ACVR1B",6.56267374322338e-07,6.70912954745966e-05
"439","TP53","NOTCH2",7.53602934054651e-07,7.76234943699426e-05
"590","ZMYM2","TP53",8.51960346212726e-07,8.5033558202529e-05
"4","TP53","ABL1",9.02125983561734e-07,9.07528827851931e-05
"391","PPP2R1A","MACF1",9.38611424759309e-07,9.35428775979537e-05
"510","TAF1","PPP2R1A",9.43549735681476e-07,9.35428775979537e-05
"529","TP53","PTPRC",1.03944539930682e-06,0.00010494164383603
"52","TP53","ARHGAP35",1.05588924136666e-06,0.000105847612927094
"456","PPP2R1A","PGR",1.137086249487e-06,0.000112110260196469
"424","TP53","MYH9",1.18130566690675e-06,0.000116398636953913
"175","KIF1A","CTNNB1",1.23834213022665e-06,0.000120935733561788
"190","NOTCH1","CTNNB1",1.23834213022665e-06,0.000120935733561788
"36","TP53","AMER1",1.31624235766414e-06,0.000126950090685584
"531","TP53","RAD21",1.32389054287636e-06,0.000127073302931769
"243","TP53","EIF1AX",1.39336612927253e-06,0.000132864963895187
"285","PPP2R1A","FGFR2",1.46474412431089e-06,0.000139489301616759
"331","TP53","KDM5C",1.52612219912044e-06,0.000144113641647047
"405","PPP2R1A","MED12",1.56461096356347e-06,0.00014735596996673
"117","TP53","CDH1",1.63789269130639e-06,0.000154089706201237
"155","SPOP","CTCF",1.83122484773608e-06,0.000173022126604941
