"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"147","MYH9","TP53",20,168,17,0.044
"148","NCOR1","TP53",17,171,16,0.15
"149","NF1","PIK3CA",12,87,8,0.018
"150","NF1","TP53",17,172,16,0.176
"151","PIK3CA","RB1",11,110,12,0.416
"152","PIK3CA","SPTAN1",16,90,10.2,0.002
"153","PIK3CA","STAG2",15,92,10,0.012
"154","PIK3CA","TP53",38,175,36,0.122
"155","PIK3CA","ZFHX3",11,85,7,0.016
"156","POLE","TP53",13,170,12,0.124
"157","POLQ","TP53",13,173,13,0.29
"158","PTPRD","TP53",15,173,15,0.248
"159","RB1","TP53",37,153,25,0
"160","RHOB","TP53",15,168,13,0.038
"161","SCAF4","TP53",11,170,10,0.122
"162","SETD2","TP53",16,168,13,0.034
"163","SPTA1","TP53",21,170,19,0.09
"164","SPTAN1","TP53",18,181,21,0.612
"165","STAG2","TP53",18,181,21,0.61
"166","TP53","WHSC1",11,173,11,0.256
