"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"162","HGF","MACF1",16,77,9,0
"163","HGF","NF1",12,75,8,0.002
"164","HGF","PTPRD",13,110,11,0.018
"165","HGF","SETBP1",12,87,9,0.008
"166","HGF","SPTA1",29,132,17,0
"167","HGF","TLR4",16,80,9,0
"168","HGF","TP53",29,212,24,0
"169","HUWE1","KEAP1",16,102,11,0
"170","HUWE1","PIK3CG",12,60,6,0
"171","HUWE1","PTPRD",11,111,11,0.06
"172","HUWE1","SPTA1",18,151,16,0.008
"173","HUWE1","TP53",24,219,23,0.026
"174","IL7R","PTPRD",11,95,8,0
"175","IL7R","SPTA1",17,137,11,0
"176","IL7R","TP53",20,211,16,0
"177","KDM5C","SPTA1",11,142,9,0.01
"178","KDM5C","TP53",12,220,13,0.106
"179","KEAP1","KRAS",18,165,23,0.518
"180","KEAP1","MACF1",14,122,14,0.108
"181","KEAP1","PTPRD",12,153,20,0.806
"182","KEAP1","SETBP1",15,122,15,0.052
"183","KEAP1","SMARCA4",13,108,11,0.02
"184","KEAP1","SPTA1",29,173,29,0.058
"185","KEAP1","STK11",11,113,11,0.1
"186","KEAP1","TP53",37,237,42,0.364
"187","KEL","SPTA1",17,144,13,0.002
"188","KEL","TP53",23,212,19,0.008
"189","KIF1A","KRAS",11,128,12,0.136
"190","KIF1A","PTPRD",12,102,10,0.01
"191","KIF1A","SETBP1",13,75,8,0
"192","KIF1A","SPTA1",19,142,14,0
"193","KIF1A","TP53",22,216,20,0.018
"194","KMT2A","SPTA1",13,145,11,0.008
"195","KMT2A","TP53",15,221,16,0.142
"196","KMT2C","PDGFRA",11,69,6,0
"197","KMT2C","PIK3CG",11,61,6,0
"198","KMT2C","PTPRD",13,106,10,0.01
"199","KMT2C","SPTA1",19,148,15.05,0.002
"200","KMT2C","TP53",19,228,22,0.362
"201","KMT2D","KRAS",16,125,13,0.006
"202","KMT2D","PTPRD",11,111,11.05,0.09
"203","KMT2D","SETBP1",13,82,9,0
"204","KMT2D","SPTA1",12,163,16,0.488
"205","KMT2D","TP53",23,221,23,0.08
"206","KRAS","MACF1",13,147,17,0.458
"207","KRAS","PDGFRA",15,129,13.05,0.026
"208","KRAS","PTPRD",22,156,24,0.15
"209","KRAS","SETBP1",16,143,17,0.128
"210","KRAS","SPTA1",33,188,35,0.134
"211","KRAS","STK11",20,118,14,0
"212","KRAS","TLR4",17,142,18,0.142
"213","KRAS","TP53",36,262,52,0.978
"214","MACF1","PIK3CG",12,76,8,0
"215","MACF1","PTPRD",11,127,14,0.404
"216","MACF1","SETBP1",12,100,11,0.03
"217","MACF1","SPTA1",30,143,21,0
"218","MACF1","TLR4",13,99,10,0.006
"219","MACF1","TP53",40,203,31,0
"220","MAP3K4","TP53",12,218,12,0.056
"221","MED12","SPTA1",16,151,15,0.032
"222","MED12","TP53",22,219,21,0.042
"223","MGA","SPTA1",14,150,13,0.038
"224","MGA","TP53",13,232,19,0.698
"225","MTOR","TP53",16,219,16,0.056
"226","MUC6","TP53",12,221,13,0.156
"227","NF1","PTPRD",15,109,12,0.008
"228","NF1","SPTA1",18,157,18,0.076
"229","NF1","TP53",27,219,25,0.016
"230","NIPBL","TP53",13,220,14,0.114
"231","NOTCH1","SPTA1",12,138,8,0
"232","NOTCH2","SPTA1",16,137,11,0
"233","NOTCH2","TP53",15,219,15,0.058
"234","PDGFRA","PIK3CG",12,62,6,0
"235","PDGFRA","PTPRD",16,103,12,0.004
"236","PDGFRA","SETBP1",13,84,8,0.002
"237","PDGFRA","SPTA1",24,141,17,0
"238","PDGFRA","TP53",29,211,24,0
"239","PGR","TP53",12,215,10,0.01
"240","PIK3CA","TP53",12,219,12,0.068
"241","PIK3CG","PLCB4",13,49,5,0
"242","PIK3CG","PTPRD",16,95,10,0.002
"243","PIK3CG","SETBP1",13,76,8,0
"244","PIK3CG","SPTA1",23,135,14,0
"245","PIK3CG","TP53",20,221,20,0.066
"246","PLCB4","PTPRD",11,102,9,0.018
"247","PLCB4","SPTA1",19,140,14,0
"248","PLCB4","TP53",19,220,19,0.072
"249","PLXNB2","TP53",11,221,12,0.17
"250","POLE","SPTA1",14,142,11,0
"251","POLE","TP53",20,210,15.05,0.004
"252","POLQ","PTPRD",11,99,9,0.016
"253","POLQ","SPTA1",13,149,13,0.054
"254","POLQ","TP53",18,219,18,0.068
"255","PTPRC","PTPRD",19,95,11,0
